"code";"url";"product_name";"packaging";"brand"
"76808280739";"https://world-fr.openfoodfacts.org/produit/0076808280739";"Penne";"Box";"Barilla,Barilla America  Inc."
"8076809542395";"https://world-fr.openfoodfacts.org/produit/8076809542395";"Penne all'arrabbiata (Sauce tomate et piment)";"Barquettes plastique PP5,Film de fermeture Others 7,Emballage carton PAP 21,Sous atmosphère protectrice";"Barilla"
"8076809574976";"https://world-fr.openfoodfacts.org/produit/8076809574976";"Penne de lentilles corail";"Emballage carton,carton";"Barilla"
"8076809542401";"https://world-fr.openfoodfacts.org/produit/8076809542401";"Penne pomodoro e basilico (Sauce tomate et basilic)";"Barquettes plastique PP5,Film de fermeture Others 7,Emballage carton PAP 21,Sous atmosphère protectrice";"Barilla"
"8076809571227";"https://world-fr.openfoodfacts.org/produit/8076809571227";"Penne Rigate";"Bolsa de plastico";"Barilla"
"8076809547291";"https://world-fr.openfoodfacts.org/produit/8076809547291";"Penne Rigate";"Carton";"Barilla"
"8076809572743";"https://world-fr.openfoodfacts.org/produit/8076809572743";"Penne Rigate 5 céréales";"sec,carton";"Barilla"
"8076809546683";"https://world-fr.openfoodfacts.org/produit/8076809546683";"Penne Rigate n. 73";"Boîte,Carton 100 % recyclable,boîte";"Barilla"
"8076809546782";"https://world-fr.openfoodfacts.org/produit/8076809546782";"Penne Rigate n. 73 (Lot x 3)";"Boîte,Carton 100 % recyclable,Film plastique";"Barilla"
"8076802085738";"https://world-fr.openfoodfacts.org/produit/8076802085738";"Penne rigate n.73";"box,emballage,boîte,Karton,paquet,paquete,Packung(en),carton";"Barilla"
"8076800035735";"https://world-fr.openfoodfacts.org/produit/8076800035735";"Penne Rigate n°73 (speciale ristorazione)";"Sachet,plastique";"Barilla"
"8076809545457";"https://world-fr.openfoodfacts.org/produit/8076809545457";"Penne Rigate sans gluten";"Boîte,Carton, Boîte, Boîte, boîte";"Barilla"
"8076819544457";"https://world-fr.openfoodfacts.org/produit/8076819544457";"Penne Rigate Senza Glutine (Sans Gluten)";"Boîte,Carton";"Barilla"
"8076809531177";"https://world-fr.openfoodfacts.org/produit/8076809531177";"Pennette Rigate Integrale";"boîte,carton,plastique";"Barilla"
"8076809545396";"https://world-fr.openfoodfacts.org/produit/8076809545396";"Pesti con Basilico e Rucola";"Glas,70 GL,Metall,FE 40";"Barilla"
"8076809517751";"https://world-fr.openfoodfacts.org/produit/8076809517751";"Pesto Alla Calabrese";"Konservenglas,Glas,Glas/Gläser,Glas/Gläser";"Barilla"
"8076809570367";"https://world-fr.openfoodfacts.org/produit/8076809570367";"Pesto alla genovese";"vetro";"barilla"
"8076809572569";"https://world-fr.openfoodfacts.org/produit/8076809572569";"Pesto au basilic Vegan";"pot en verre,verre,bocal,metal,Glas";"Barilla"
"8076809568067";"https://world-fr.openfoodfacts.org/produit/8076809568067";"Pesto avec aubergines";"Bocal,Verre, Glas";"Barilla"
"8076809576581";"https://world-fr.openfoodfacts.org/produit/8076809576581";"Pesto avec légumes méditerranéens";"GL70,FE, glas";"Barilla"
"8076809576574";"https://world-fr.openfoodfacts.org/produit/8076809576574";"Pesto avec tomates séchées";"bocal";"Barilla"
"8076809568050";"https://world-fr.openfoodfacts.org/produit/8076809568050";"Pesto avec tomates séchées";"Bocal,Verre";"Barilla"
"8076809576598";"https://world-fr.openfoodfacts.org/produit/8076809576598";"Pesto basilic et courgettes";"pot";"Barilla"
"8076809541091";"https://world-fr.openfoodfacts.org/produit/8076809541091";"Pesto Pomodori Secchi";"Glass, Glaß, Produkt";"Barilla"
"8076809546669";"https://world-fr.openfoodfacts.org/produit/8076809546669";"Pesto Ricotta e Nocci";"Carton,2 Bocal,Verre,Couvercle,Conserve,Frais";"Barilla"
"8076809517881";"https://world-fr.openfoodfacts.org/produit/8076809517881";"Pesto ricotta e noci";"Glas";"Barilla"
"8076809540087";"https://world-fr.openfoodfacts.org/produit/8076809540087";"Pesto Ricotta e Noci";"Bocal,Verre,Couvercle,Métal,Conserve,Frais";"Barilla"
"4000470012110";"https://world-fr.openfoodfacts.org/produit/4000470012110";"Pesto rosso";"Glas";"Barilla"
"4071525523547";"https://world-fr.openfoodfacts.org/produit/4071525523547";"Pesto Rosso";"Barquette,Plastique";"Barilla"
"8076809568074";"https://world-fr.openfoodfacts.org/produit/8076809568074";"Pesto Rustico Mediterranes Gemüse";"Glas";"Barilla"
"8076809513746";"https://world-fr.openfoodfacts.org/produit/8076809513746";"Pesto sauce with basil";"bocal, verre, glas, Glaß, Glas/Gläser, vasetto, Glas/Gläser";"Barilla"
"8076809532372";"https://world-fr.openfoodfacts.org/produit/8076809532372";"Piadelle Sfogliate";"plastica";"Mulino Bianco,Barilla"
"4311501441190";"https://world-fr.openfoodfacts.org/produit/4311501441190";"Piccolini";"Karton";"Barilla"
"8076809523820";"https://world-fr.openfoodfacts.org/produit/8076809523820";"Piccolini mini farfalle";"Carton,boîte,plastique";"Barilla"
"8076809521628";"https://world-fr.openfoodfacts.org/produit/8076809521628";"Piccolini Mini Penne Rigate";"Karton, Packung(en)";"Barilla"
"8076809529556";"https://world-fr.openfoodfacts.org/produit/8076809529556";"Pipe Rigate Integrale 100 % Blé Complet";"Boîte,Carton";"Barilla"
"8076809542180";"https://world-fr.openfoodfacts.org/produit/8076809542180";"Pipette Rigate n. 86 (Petite Pipe Rigate)";"Boîte,Carton,100 % recyclable";"Barilla"
"8076802085868";"https://world-fr.openfoodfacts.org/produit/8076802085868";"pipette rigate n.86";"carton";"Barilla"
"8076809513395";"https://world-fr.openfoodfacts.org/produit/8076809513395";"Pomodoro";"glas, container";"Barilla"
"8076809541473";"https://world-fr.openfoodfacts.org/produit/8076809541473";"pomodoro pomodori e datterini";"barattolo di vetro";"barilla"
"8076809538480";"https://world-fr.openfoodfacts.org/produit/8076809538480";"PUTTANESCA";"TARRO,VIDRIO";"BARILLA"
"8076809541121";"https://world-fr.openfoodfacts.org/produit/8076809541121";"Puttanesca";"vasetto";"Barilla"
"8076809570879";"https://world-fr.openfoodfacts.org/produit/8076809570879";"Ragù con Speck";"2xBox";"Barilla"
"8076809525244";"https://world-fr.openfoodfacts.org/produit/8076809525244";"Ragù contadino";"Vetro,Capsula,Metallo,Vasetto,FE40,GL70";"Barilla"
"76808502947";"https://world-fr.openfoodfacts.org/produit/0076808502947";"RIGATONI";"box";"Barilla,Barilla America  Inc."
"8076809573023";"https://world-fr.openfoodfacts.org/produit/8076809573023";"Risoni Rote Linsen, Kichererbsen und Erbsen";"21 PAP";"Barilla"
"2000000048834";"https://world-fr.openfoodfacts.org/produit/2000000048834";"Ritornelli";"Carta";"Mulino  Bianco,Barilla"
"8076809536721";"https://world-fr.openfoodfacts.org/produit/8076809536721";"RITORNELLI Biscotti frollini con cacao e mandorle";"sacchetto,cartone,carta";"Mulino bianco,barilla"
"8076809523547";"https://world-fr.openfoodfacts.org/produit/8076809523547";"Rotes Pesto";"70 GL,40 FE,Glas,glas/gläser,bocal, Glas/Gläser, pot";"Barilla"
"76808000139";"https://world-fr.openfoodfacts.org/produit/0076808000139";"Rotini n. 81";"boîte";"Barilla"
"8076809538497";"https://world-fr.openfoodfacts.org/produit/8076809538497";"SALSA DE TOMATE CON PARMESANO";"TARRO,PLASTICO";"BARILLA"
"8076809570893";"https://world-fr.openfoodfacts.org/produit/8076809570893";"salsa pronta origano di Sicilia";"vetro";"Barilla"
"8076809513388";"https://world-fr.openfoodfacts.org/produit/8076809513388";"Sauce arrabbiata";"Metal,Bocal,couvercle,verre,Glas,pot,bouteille,GL 70,FE 40";"Barilla"
"8076809523660";"https://world-fr.openfoodfacts.org/produit/8076809523660";"Sauce arrabbiata";"Bocal,Verre,Couvercle,Métal,Conserve";"Barilla"
"8076809513678";"https://world-fr.openfoodfacts.org/produit/8076809513678";"Sauce bolognaise";"pot en verre,couvercle en métal,Couvercle,Glas,pot";"Barilla"
"8076809535878";"https://world-fr.openfoodfacts.org/produit/8076809535878";"Sauce bolognaise";"Pot,Verre,Couvercle,Métal,pot";"Barilla"
"8076809572552";"https://world-fr.openfoodfacts.org/produit/8076809572552";"Sauce bolognaise au soja Vegan";"Glas";"Barilla"
"8076809546362";"https://world-fr.openfoodfacts.org/produit/8076809546362";"Sauce bolognaise et fromages Italie";"bocal verre,couvercle métal,glas,bocal verre";"Barilla"
"8076809572255";"https://world-fr.openfoodfacts.org/produit/8076809572255";"Sauce bolognaise riche";"Bocal en verre";"Barilla"
"8076809541671";"https://world-fr.openfoodfacts.org/produit/8076809541671";"Sauce Bolognese Ricetta Speciale (lot de 2 x 400 g) Barilla";"carton,bocal verre,couvercle métal";"Barilla"
"8076809521529";"https://world-fr.openfoodfacts.org/produit/8076809521529";"Sauce courgette et légumes grillés";"bocal,verre,couvercle,métal, Glas, Produkt";"Barilla"
"8076809513692";"https://world-fr.openfoodfacts.org/produit/8076809513692";"Sauce napolitaine";"Pot,Verre,stück,Glas,bocal,Produkt,Jar";"Barilla"
"8076809535762";"https://world-fr.openfoodfacts.org/produit/8076809535762";"Sauce napolitaine";"Verre, glas";"Barilla"
"8076809513753";"https://world-fr.openfoodfacts.org/produit/8076809513753";"Sauce Pesto Genovese";"bocal,verre,Jar,Glass,vasetto,potje,pot,fr:Couvercle en métal";"Barilla"
"8076809574143";"https://world-fr.openfoodfacts.org/produit/8076809574143";"Sauce Pesto Genovese biologique";"verre,métal";"Barilla"
"8076809543934";"https://world-fr.openfoodfacts.org/produit/8076809543934";"Sauce provençale";"bocal verre,couvercle métal";"Barilla"
"8076809530668";"https://world-fr.openfoodfacts.org/produit/8076809530668";"Sauce tomate à la ricotta";"pot en verre";"Barilla"
"8076809572996";"https://world-fr.openfoodfacts.org/produit/8076809572996";"Sauce tomate à l'ail";"Bocal,Verre,Couvercle,Métal, Glas/Gläser";"Barilla"
"8076809536622";"https://world-fr.openfoodfacts.org/produit/8076809536622";"Sauce Tomate Arrabbiata";"Bocal,Verre";"Barilla"
"8076809523561";"https://world-fr.openfoodfacts.org/produit/8076809523561";"Sauce tomate aux herbes";"glas, brique, Glas/Gläser";"Barilla"
"é";"https://world-fr.openfoodfacts.org/produit/8076809513722";"Sauce tomate basilic";"Bocal verre,couvercle métal,Vetro,Metallo,dose,glas,Glas/Gläser";"Barilla"
"8076809535755";"https://world-fr.openfoodfacts.org/produit/8076809535755";"Sauce tomate basilic";"Pot,Verre";"Barilla"
"8076809536615";"https://world-fr.openfoodfacts.org/produit/8076809536615";"Sauce tomate basilic";"verre,bocal";"Barilla"
"8076809523653";"https://world-fr.openfoodfacts.org/produit/8076809523653";"Sauce tomate basilic";"Glas";"Barilla"
"8076809574150";"https://world-fr.openfoodfacts.org/produit/8076809574150";"Sauce tomate basilic biologique";"pot";"Barilla"
"8076809521543";"https://world-fr.openfoodfacts.org/produit/8076809521543";"Sauce tomate et ricotta";"Glas";"Barilla"
"8076809570596";"https://world-fr.openfoodfacts.org/produit/8076809570596";"Sauce tomates cuisinées";"Bocal,Verre,Couvercle metal";"Barilla"
